id,institutionName,city,state,website
cleveland-community-college-nc,Cleveland Community College,,NC,
coastal-carolina-community-college-nc,Coastal Carolina Community College,,NC,
college-of-the-albemarle-nc,College of the Albemarle,,NC,
craven-community-college-nc,Craven Community College,,NC,
davidson-davie-community-college-nc,Davidson-Davie Community College,,NC,
durham-technical-community-college-nc,Durham Technical Community College,,NC,
fayetteville-technical-community-college-nc,Fayetteville Technical Community College,,NC,
forsyth-technical-community-college-nc,Forsyth Technical Community College,,NC,
gaston-college-nc,Gaston College,,NC,
guilford-technical-community-college-nc,Guilford Technical Community College,,NC,
johnston-community-college-nc,Johnston Community College,,NC,
lenoir-community-college-nc,Lenoir Community College,,NC,
louisburg-college-nc,Louisburg College,,NC,
nash-community-college-nc,Nash Community College,,NC,
pitt-community-college-nc,Pitt Community College,,NC,
randolph-community-college-nc,Randolph Community College,,NC,
richmond-community-college-nc,Richmond Community College,,NC,
rockingham-community-college-nc,Rockingham Community College,,NC,
rowan-cabarrus-community-college-nc,Rowan-Cabarrus Community College,,NC,
sandhills-community-college-nc,Sandhills Community College,,NC,
south-piedmont-community-college-nc,South Piedmont Community College,,NC,
southeastern-community-college-nc,Southeastern Community College,,NC,
surry-community-college-nc,Surry Community College,,NC,
vance-granville-community-college-nc,Vance-Granville Community College,,NC,
wake-technical-community-college-nc,Wake Technical Community College,Raleigh,NC,https://www.waketechsports.com/sports/Esports/index
wayne-community-college-nc,Wayne Community College,,NC,
western-piedmont-community-college-nc,Western Piedmont Community College,,NC,
wilkes-community-college-nc,Wilkes Community College,,NC,
wilson-community-college-nc,Wilson Community College,,NC,
bismarck-state-college-nd,Bismarck State College,,ND,
dakota-college-at-bottineau-nd,Dakota College at Bottineau,,ND,
lake-region-state-college-nd,Lake Region State College,,ND,
north-dakota-state-college-of-science-nd,North Dakota State College of Science,,ND,
williston-state-college-nd,Williston State College,,ND,
central-community-college-ne,Central Community College,Columbus,NE,https://cccraiders.com/sports/esports/index
mccook-community-college-ne,McCook Community College,,NE,
mid-plains-community-college-ne,Mid-Plains Community College,,NE,
northeast-community-college-ne,Northeast Community College,,NE,
north-platte-community-college-ne,North Platte Community College,,NE,
southeast-community-college-ne,Southeast Community College,,NE,
western-nebraska-community-college-ne,Western Nebraska Community College,,NE,
atlantic-cape-community-college-nj,Atlantic Cape Community College,,NJ,
bergen-community-college-nj,Bergen Community College,,NJ,
brookdale-community-college-nj,Brookdale Community College,Lincroft,NJ,https://www.brookdalecc.edu/esports/
camden-county-college-nj,Camden County College,,NJ,
county-college-of-morris-nj,County College of Morris,,NJ,
essex-county-college-nj,Essex County College,,NJ,
hudson-county-community-college-nj,Hudson County Community College,,NJ,
mercer-county-community-college-nj,Mercer County Community College,,NJ,
middlesex-college-nj,Middlesex College,,NJ,
ocean-county-college-nj,Ocean County College,Toms River,NJ,https://www.occvikings.com/sports/esports/index
passaic-county-community-college-nj,Passaic County Community College,,NJ,
raritan-valley-community-college-nj,Raritan Valley Community College,,NJ,
rowan-college-at-burlington-county-nj,Rowan College at Burlington County,,NJ,
rowan-college-of-south-jersey-nj,Rowan College of South Jersey,,NJ,
salem-community-college-nj,Salem Community College,,NJ,
sussex-county-community-college-nj,Sussex County Community College,,NJ,
union-college-of-union-county-nj,Union College of Union County,Cranford,NJ,https://www.unionowls.com/sports/eSports/index
warren-county-community-college-nj,Warren County Community College,,NJ,
central-new-mexico-community-college-nm,Central New Mexico Community College,,NM,
clovis-community-college-nm,Clovis Community College,,NM,
luna-community-college-nm,Luna Community College,,NM,
mesalands-community-college-nm,Mesalands Community College,,NM,
new-mexico-junior-college-nm,New Mexico Junior College,,NM,
new-mexico-military-institute-nm,New Mexico Military Institute,,NM,
san-juan-college-nm,San Juan College,,NM,
santa-fe-community-college-nm,Santa Fe Community College,,NM,
college-of-southern-nevada-nv,College of Southern Nevada,North Las Vegas,NV,https://csncoyotes.com/
great-basin-college-nv,Great Basin College,,NV,
truckee-meadows-community-college-nv,Truckee Meadows Community College,,NV,
western-nevada-college-nv,Western Nevada College,,NV,
adirondack-community-college-ny,Adirondack Community College,,NY,
borough-of-manhattan-community-college-ny,Borough of Manhattan Community College,,NY,
bronx-community-college-ny,Bronx Community College,,NY,
broome-community-college-ny,Broome Community College,,NY,
cayuga-community-college-ny,Cayuga Community College,,NY,
clinton-community-college-ny,Clinton Community College,,NY,
columbia-greene-community-college-ny,Columbia-Greene Community College,,NY,
corning-community-college-ny,Corning Community College,,NY,
dutchess-community-college-ny,Dutchess Community College,,NY,
erie-community-college-ny,Erie Community College,,NY,
finger-lakes-community-college-ny,Finger Lakes Community College,Canandaigua,NY,https://www.flccathletics.com/sports/eSports/index
fulton-montgomery-community-college-ny,Fulton-Montgomery Community College,,NY,
genesee-community-college-ny,Genesee Community College,,NY,
herkimer-county-community-college-ny,Herkimer County Community College,,NY,
hostos-community-college-ny,Hostos Community College,,NY,
hudson-valley-community-college-ny,Hudson Valley Community College,,NY,
jamestown-community-college-ny,Jamestown Community College,,NY,
jefferson-community-college-ny,Jefferson Community College,,NY,
kingsborough-community-college-ny,Kingsborough Community College,,NY,
laguardia-community-college-ny,LaGuardia Community College,,NY,
mohawk-valley-community-college-ny,Mohawk Valley Community College,,NY,
monroe-college-ny,Monroe College,New Rochelle,NY,https://www.monroeumustangs.com/sports/esports
monroe-community-college-ny,Monroe Community College,,NY,
nassau-community-college-ny,Nassau Community College,,NY,
niagara-county-community-college-ny,Niagara County Community College,,NY,
north-country-community-college-ny,North Country Community College,,NY,
onondaga-community-college-ny,Onondaga Community College,,NY,
orange-county-community-college-ny,Orange County Community College,,NY,
queensborough-community-college-ny,Queensborough Community College,,NY,
rockland-community-college-ny,Rockland Community College,,NY,
schenectady-county-community-college-ny,Schenectady County Community College,,NY,
suffolk-county-community-college-ny,Suffolk County Community College,,NY,
sullivan-county-community-college-ny,Sullivan County Community College,,NY,
tompkins-cortland-community-college-ny,Tompkins Cortland Community College,,NY,
ulster-county-community-college-ny,Ulster County Community College,,NY,
westchester-community-college-ny,Westchester Community College,,NY,
belmont-college-oh,Belmont College,,OH,
central-ohio-technical-college-oh,Central Ohio Technical College,,OH,
cincinnati-state-technical-and-community-college-oh,Cincinnati State Technical and Community College,,OH,
clark-state-college-oh,Clark State College,,OH,
columbus-state-community-college-oh,Columbus State Community College,,OH,
cuyahoga-community-college-oh,Cuyahoga Community College,Cleveland,OH,https://athletics.tri-c.edu/landing/index
edison-state-community-college-oh,Edison State Community College,,OH,
hocking-college-oh,Hocking College,,OH,
lakeland-community-college-oh,Lakeland Community College,,OH,
lorain-county-community-college-oh,Lorain County Community College,,OH,
marion-technical-college-oh,Marion Technical College,,OH,
north-central-state-college-oh,North Central State College,,OH,
northwest-state-community-college-oh,Northwest State Community College,,OH,
owens-community-college-oh,Owens Community College,,OH,
rhodes-state-college-oh,Rhodes State College,,OH,
rio-grande-community-college-oh,Rio Grande Community College,,OH,
sinclair-community-college-oh,Sinclair Community College,,OH,
southern-state-community-college-oh,Southern State Community College,,OH,
stark-state-college-oh,Stark State College,,OH,
terra-state-community-college-oh,Terra State Community College,,OH,
washington-state-community-college-oh,Washington State Community College,,OH,
zane-state-college-oh,Zane State College,,OH,
carl-albert-state-college-ok,Carl Albert State College,,OK,
connors-state-college-ok,Connors State College,,OK,
eastern-oklahoma-state-college-ok,Eastern Oklahoma State College,,OK,
murray-state-college-ok,Murray State College,,OK,
northeastern-oklahoma-am-college-ok,Northeastern Oklahoma A&M College,,OK,
northern-oklahoma-college-ok,Northern Oklahoma College,,OK,
oklahoma-city-community-college-ok,Oklahoma City Community College,,OK,
redlands-community-college-ok,Redlands Community College,,OK,
rose-state-college-ok,Rose State College,,OK,
seminole-state-college-ok,Seminole State College,,OK,
tulsa-community-college-ok,Tulsa Community College,,OK,
western-oklahoma-state-college-ok,Western Oklahoma State College,,OK,
blue-mountain-community-college-or,Blue Mountain Community College,,OR,
central-oregon-community-college-or,Central Oregon Community College,,OR,
chemeketa-community-college-or,Chemeketa Community College,,OR,
clackamas-community-college-or,Clackamas Community College,,OR,
clatsop-community-college-or,Clatsop Community College,,OR,
columbia-gorge-community-college-or,Columbia Gorge Community College,,OR,
klamath-community-college-or,Klamath Community College,,OR,
lane-community-college-or,Lane Community College,,OR,
linn-benton-community-college-or,Linn-Benton Community College,,OR,
mount-hood-community-college-or,Mt. Hood Community College,,OR,
oregon-coast-community-college-or,Oregon Coast Community College,,OR,
portland-community-college-or,Portland Community College,,OR,
rogue-community-college-or,Rogue Community College,,OR,
southwestern-oregon-community-college-or,Southwestern Oregon Community College,,OR,
tillamook-bay-community-college-or,Tillamook Bay Community College,,OR,
treasure-valley-community-college-or,Treasure Valley Community College,,OR,
umpqua-community-college-or,Umpqua Community College,,OR,
bucks-county-community-college-pa,Bucks County Community College,,PA,
butler-county-community-college-pa,Butler County Community College,,PA,
central-penn-college-pa,Central Penn College,,PA,
community-college-of-allegheny-county-pa,Community College of Allegheny County,,PA,
community-college-of-beaver-county-pa,Community College of Beaver County,,PA,
community-college-of-philadelphia-pa,Community College of Philadelphia,,PA,
delaware-county-community-college-pa,Delaware County Community College,,PA,
harrisburg-area-community-college-pa,Harrisburg Area Community College,,PA,
lackawanna-college-pa,Lackawanna College,Scranton,PA,https://lackawannafalcons.com/sports/esports
lehigh-carbon-community-college-pa,Lehigh Carbon Community College,,PA,
luzerne-county-community-college-pa,Luzerne County Community College,,PA,
manor-college-pa,Manor College,,PA,
montgomery-county-community-college-pa,Montgomery County Community College,,PA,
northampton-community-college-pa,Northampton Community College,Bethlehem,PA,https://www.nccspartans.com/
pennsylvania-highlands-community-college-pa,Pennsylvania Highlands Community College,,PA,
reading-area-community-college-pa,Reading Area Community College,,PA,
thaddeus-stevens-college-of-technology-pa,Thaddeus Stevens College of Technology,,PA,
westmoreland-county-community-college-pa,Westmoreland County Community College,,PA,
aiken-technical-college-sc,Aiken Technical College,,SC,
central-carolina-technical-college-sc,Central Carolina Technical College,,SC,
denmark-technical-college-sc,Denmark Technical College,,SC,
florence-darlington-technical-college-sc,Florence-Darlington Technical College,,SC,
greenville-technical-college-sc,Greenville Technical College,,SC,
horry-georgetown-technical-college-sc,Horry-Georgetown Technical College,,SC,
midlands-technical-college-sc,Midlands Technical College,,SC,
northeastern-technical-college-sc,Northeastern Technical College,,SC,
orangeburg-calhoun-technical-college-sc,Orangeburg-Calhoun Technical College,,SC,
piedmont-technical-college-sc,Piedmont Technical College,,SC,
spartanburg-community-college-sc,Spartanburg Community College,,SC,
spartanburg-methodist-college-sc,Spartanburg Methodist College,,SC,
technical-college-of-the-lowcountry-sc,Technical College of the Lowcountry,,SC,
tri-county-technical-college-sc,Tri-County Technical College,,SC,
trident-technical-college-sc,Trident Technical College,,SC,
usc-lancaster-sc,USC Lancaster,,SC,
usc-salkehatchie-sc,USC Salkehatchie,,SC,
usc-sumter-sc,USC Sumter,,SC,
usc-union-sc,USC Union,,SC,
williamsburg-technical-college-sc,Williamsburg Technical College,,SC,
york-technical-college-sc,York Technical College,,SC,
chattanooga-state-community-college-tn,Chattanooga State Community College,,TN,
cleveland-state-community-college-tn,Cleveland State Community College,,TN,
columbia-state-community-college-tn,Columbia State Community College,,TN,
dyersburg-state-community-college-tn,Dyersburg State Community College,,TN,
jackson-state-community-college-tn,Jackson State Community College,,TN,
motlow-state-community-college-tn,Motlow State Community College,,TN,
nashville-state-community-college-tn,Nashville State Community College,,TN,
northeast-state-community-college-tn,Northeast State Community College,,TN,
pellissippi-state-community-college-tn,Pellissippi State Community College,,TN,
roane-state-community-college-tn,Roane State Community College,,TN,
southwest-tennessee-community-college-tn,Southwest Tennessee Community College,,TN,
volunteer-state-community-college-tn,Volunteer State Community College,,TN,
walters-state-community-college-tn,Walters State Community College,,TN,
alvin-community-college-tx,Alvin Community College,,TX,
amarillo-college-tx,Amarillo College,,TX,
angelina-college-tx,Angelina College,,TX,
austin-community-college-tx,Austin Community College,,TX,
blinn-college-tx,Blinn College,,TX,
brazosport-college-tx,Brazosport College,,TX,
central-texas-college-tx,Central Texas College,,TX,
cisco-college-tx,Cisco College,,TX,
clarendon-college-tx,Clarendon College,,TX,
coastal-bend-college-tx,Coastal Bend College,,TX,
college-of-the-mainland-tx,College of the Mainland,,TX,
collin-college-tx,Collin College,,TX,
dallas-college-tx,Dallas College,Dallas,TX,https://www.dallascollege.edu/slife/athletics/esports/
del-mar-college-tx,Del Mar College,,TX,
el-paso-community-college-tx,El Paso Community College,,TX,
frank-phillips-college-tx,Frank Phillips College,,TX,
galveston-college-tx,Galveston College,,TX,
grayson-college-tx,Grayson College,,TX,
hill-college-tx,Hill College,,TX,
houston-community-college-tx,Houston Community College,,TX,
howard-college-tx,Howard College,,TX,
kilgore-college-tx,Kilgore College,,TX,
laredo-college-tx,Laredo College,,TX,
lee-college-tx,Lee College,,TX,
lone-star-college-tx,Lone Star College,,TX,
mclennan-community-college-tx,McLennan Community College,,TX,
midland-college-tx,Midland College,,TX,
navarro-college-tx,Navarro College,Corsicana,TX,https://navarrobulldogs.com/sports/esports
north-central-texas-college-tx,North Central Texas College,,TX,
northeast-texas-community-college-tx,Northeast Texas Community College,,TX,
odessa-college-tx,Odessa College,,TX,
panola-college-tx,Panola College,,TX,
paris-junior-college-tx,Paris Junior College,,TX,
ranger-college-tx,Ranger College,,TX,
san-antonio-college-tx,San Antonio College,,TX,
san-jacinto-college-tx,San Jacinto College,,TX,
south-plains-college-tx,South Plains College,,TX,
south-texas-college-tx,South Texas College,,TX,
southwest-texas-junior-college-tx,Southwest Texas Junior College,,TX,
tarrant-county-college-tx,Tarrant County College,,TX,
temple-college-tx,Temple College,,TX,
texarkana-college-tx,Texarkana College,,TX,
texas-southmost-college-tx,Texas Southmost College,,TX,
trinity-valley-community-college-tx,Trinity Valley Community College,,TX,
tyler-junior-college-tx,Tyler Junior College,,TX,
vernon-college-tx,Vernon College,,TX,
victoria-college-tx,Victoria College,,TX,
weatherford-college-tx,Weatherford College,,TX,
western-texas-college-tx,Western Texas College,,TX,
wharton-county-junior-college-tx,Wharton County Junior College,,TX,
salt-lake-community-college-ut,Salt Lake Community College,,UT,
snow-college-ut,Snow College,,UT,
utah-state-university-eastern-ut,Utah State University Eastern,,UT,
blue-ridge-community-college-va,Blue Ridge Community College,,VA,
brightpoint-community-college-va,Brightpoint Community College,,VA,
camp-community-college-va,Camp Community College,,VA,
central-virginia-community-college-va,Central Virginia Community College,,VA,
danville-community-college-va,Danville Community College,,VA,
germanna-community-college-va,Germanna Community College,,VA,
laurel-ridge-community-college-va,Laurel Ridge Community College,,VA,
mountain-empire-community-college-va,Mountain Empire Community College,,VA,
mountain-gateway-community-college-va,Mountain Gateway Community College,,VA,
new-river-community-college-va,New River Community College,,VA,
northern-virginia-community-college-va,Northern Virginia Community College,,VA,
patrick-henry-community-college-va,Patrick & Henry Community College,,VA,
piedmont-virginia-community-college-va,Piedmont Virginia Community College,,VA,
rappahannock-community-college-va,Rappahannock Community College,,VA,
reynolds-community-college-va,Reynolds Community College,,VA,
richard-bland-college-va,Richard Bland College,,VA,
southside-virginia-community-college-va,Southside Virginia Community College,,VA,
southwest-virginia-community-college-va,Southwest Virginia Community College,,VA,
tidewater-community-college-va,Tidewater Community College,,VA,
virginia-highlands-community-college-va,Virginia Highlands Community College,,VA,
virginia-peninsula-community-college-va,Virginia Peninsula Community College,,VA,
virginia-western-community-college-va,Virginia Western Community College,,VA,
wytheville-community-college-va,Wytheville Community College,,VA,
bellevue-college-wa,Bellevue College,,WA,
big-bend-community-college-wa,Big Bend Community College,Moses Lake,WA,https://www.bbccvikings.com/
cascadia-college-wa,Cascadia College,,WA,
centralia-college-wa,Centralia College,,WA,
clark-college-wa,Clark College,,WA,
clover-park-technical-college-wa,Clover Park Technical College,Lakewood,WA,https://www.cptc.edu/student-life/clubs
columbia-basin-college-wa,Columbia Basin College,,WA,
edmonds-college-wa,Edmonds College,,WA,
everett-community-college-wa,Everett Community College,,WA,
grays-harbor-college-wa,Grays Harbor College,,WA,
green-river-college-wa,Green River College,,WA,
highline-college-wa,Highline College,,WA,
lower-columbia-college-wa,Lower Columbia College,,WA,
olympic-college-wa,Olympic College,,WA,
peninsula-college-wa,Peninsula College,,WA,
pierce-college-wa,Pierce College,,WA,
renton-technical-college-wa,Renton Technical College,,WA,
seattle-central-college-wa,Seattle Central College,,WA,
shoreline-community-college-wa,Shoreline Community College,,WA,
skagit-valley-college-wa,Skagit Valley College,,WA,
south-puget-sound-community-college-wa,South Puget Sound Community College,,WA,
spokane-community-college-wa,Spokane Community College,,WA,
spokane-falls-community-college-wa,Spokane Falls Community College,,WA,
tacoma-community-college-wa,Tacoma Community College,,WA,
walla-walla-community-college-wa,Walla Walla Community College,Walla Walla,WA,https://warriors.wwcc.edu/
wenatchee-valley-college-wa,Wenatchee Valley College,,WA,
whatcom-community-college-wa,Whatcom Community College,,WA,
yakima-valley-college-wa,Yakima Valley College,,WA,
blackhawk-technical-college-wi,Blackhawk Technical College,,WI,
bryant-stratton-college-wi-wi,Bryant & Stratton College (WI),,WI,
chippewa-valley-technical-college-wi,Chippewa Valley Technical College,,WI,
fox-valley-technical-college-wi,Fox Valley Technical College,,WI,
gateway-technical-college-wi,Gateway Technical College,,WI,
lakeshore-technical-college-wi,Lakeshore Technical College,,WI,
madison-area-technical-college-wi,Madison Area Technical College,,WI,
mid-state-technical-college-wi,Mid-State Technical College,,WI,
milwaukee-area-technical-college-wi,Milwaukee Area Technical College,,WI,
moraine-park-technical-college-wi,Moraine Park Technical College,,WI,
nicolet-college-wi,Nicolet College,,WI,
northcentral-technical-college-wi,Northcentral Technical College,,WI,
northeast-wisconsin-technical-college-wi,Northeast Wisconsin Technical College,,WI,
southwest-wisconsin-technical-college-wi,Southwest Wisconsin Technical College,,WI,
waukesha-county-technical-college-wi,Waukesha County Technical College,,WI,
western-technical-college-wi,Western Technical College,,WI,
wisconsin-indianhead-technical-college-wi,Wisconsin Indianhead Technical College,,WI,
blue-ridge-community-and-technical-college-wv,Blue Ridge Community and Technical College,,WV,
bridgevalley-community-and-technical-college-wv,BridgeValley Community and Technical College,,WV,
mountwest-community-and-technical-college-wv,Mountwest Community and Technical College,,WV,
new-river-community-and-technical-college-wv,New River Community and Technical College,,WV,
pierpont-community-and-technical-college-wv,Pierpont Community and Technical College,,WV,
southern-west-virginia-community-and-technical-college-wv,Southern West Virginia Community and Technical College,,WV,
west-virginia-northern-community-college-wv,West Virginia Northern Community College,,WV,
casper-college-wy,Casper College,,WY,
central-wyoming-college-wy,Central Wyoming College,Riverton,WY,https://rustlerathletics.com/sports/esports/index
eastern-wyoming-college-wy,Eastern Wyoming College,,WY,
gillette-college-wy,Gillette College,,WY,
laramie-county-community-college-wy,Laramie County Community College,Cheyenne,WY,https://www.golccc.com/sports/esports/index
northwest-college-wy,Northwest College,,WY,
sheridan-college-wy,Sheridan College,,WY,
western-wyoming-community-college-wy,Western Wyoming Community College,,WY,