id,nome,sigla,custo,salario,prob_neve,neve_media,destaque,ambiente_academico,densidade_pop,acesso_natureza,clima,custo_visual,transporte_publico,roupa_ideal,vibe_social,sotaque,fuso_horario
AL,Alabama,AL,88.1,7.25,0,0.5,"História dos Direitos Civis, Futebol Americano","Engenharia e Medicina (UAB)",38,7,"Subtropical úmido. Verões quentes.",Baixo,Inexistente (Precisa de Carro),Verão/Leve,"Futebol Americano e Tradição","Sulista Forte (Desafiador)",Central
AK,Alaska,AK,126.6,10.34,10,74.5,"Aurora Boreal, Vida Selvagem, Glaciares","Ciências Naturais, Geologia",0.5,10,"Polar/Subártico. Invernos extremos.",Alto,Precário (Precisa de Carro),Térmica/Sobrevivência,"Aventura Selvagem e Isolamento",Neutro,Alaska
AZ,Arizona,AZ,103.2,14.35,1,0.3,"Grand Canyon, Desertos","Inovação (ASU), Astronomia",24,9,"Desértico. Verões extremamente quentes.",Médio,Ruim (Carro Essencial),Leve e Protetor Solar,"Grand Canyon e Vida Universitária",Neutro,Mountain
AR,Arkansas,AR,90.9,11.00,2,3.8,"Montanhas Ozark, Walmart HQ","Agricultura, Negócios",22,8,"Subtropical úmido. Estações distintas.",Baixo,Inexistente (Precisa de Carro),Meia-estação,"Natureza e Vida Pacata",Sulista Forte,Central
CA,California,CA,149.9,16.00,2,0.0,"Tech (Vale do Silício), Hollywood, Praias","Pesquisa de Ponta (Stanford/UCs)",100,9,"Mediterrâneo na costa. Variado.",Muito Alto,"Bom em SF/LA (Carro no resto)","Estilosa e Variada","Tech, Praias e Fama","Neutro/""Valley Girl""",Pacific
CO,Colorado,CO,105.3,14.42,9,67.3,"Esqui, Montanhas Rochosas, Cervejarias","Geologia, Física Atmosférica",21,10,"Alpino/Semiárido. Invernos com neve.",Alto,Médio (Denver tem VLT),Inverno Pesado e Óculos de Sol,"Fit, Cervejarias e Outdoor",Neutro/Claro,Mountain
CT,Connecticut,CT,116.8,15.69,8,37.0,"Yale, História Colonial, Seguros","Elite Acadêmica (Yale), Direito",286,6,"Continental úmido. Invernos frios.",Alto,"Bom (Perto de NY/Trens)",Inverno Elegante,"Elite Intelectual e Histórica",Rápido/Nordeste,Eastern
DE,Delaware,DE,107.9,13.25,4,20.2,"Praias, Paraíso Fiscal Corporativo","Química, Negócios (UDel)",196,6,"Oceânico moderado. Úmido.",Alto,Médio (Carro Recomendado),Meia-estação/Vento,"Corporativo e Praias Locais",Neutro,Eastern
FL,Florida,FL,102.8,13.00,0,0.0,"Disney, Praias, Aposentadoria","Hospitalidade, Biologia Marinha",160,8,"Tropical/Subtropical. Furacões.",Médio,Ruim (Carro Essencial),Roupa de Banho/Leve,"Festas, Latinos e Parques",Misto (Latino/Sulista),Eastern
GA,Georgia,GA,88.8,7.25,1,0.7,"Coca-Cola, CNN, Pêssegos","Tecnologia (GA Tech), Medicina",71,7,"Subtropical úmido. Verões quentes.",Baixo,Ruim (Exceto Atlanta),Verão Quente,"Urbano (Atlanta) e Tradição Sulista",Sulista Melódico,Eastern
HI,Hawaii,HI,193.3,14.00,0,0.0,"Surf, Vulcões, Cultura Polinésia","Oceanografia, Astronomia",86,10,"Tropical. Agradável o ano todo.",Muito Alto,Médio (Ônibus/Bikes),Chinelo e Bermuda,"Surf, Relax e Aloha Spirit",Pidgin/Local,Hawaii-Aleutian
ID,Idaho,ID,107.8,7.25,8,19.2,"Batatas, Gemas, Rios","Agricultura, Recursos Naturais",8,9,"Semiárido/Continental. Neve no inverno.",Médio,Ruim (Carro Essencial),Inverno/Botas,"Batatas e Rios Selvagens",Neutro,Mountain
IL,Illinois,IL,91.9,14.00,8,24.6,"Chicago, Arquitetura, Milho","Economia (UChicago), Engenharia",89,6,"Continental. Invernos ventosos e frios.",Baixo,Excelente em Chicago,Casaco Corta-Vento,"Cosmopolita e Arquitetura",Neutro/Midwest,Central
IN,Indiana,IN,90.6,7.25,7,22.4,"Indy 500, Basquete","Engenharia (Purdue), Negócios",71,6,"Continental úmido. Estações definidas.",Baixo,Ruim (Carro Essencial),Inverno Padrão,"Esportes e Vida de Campus",Neutro,Eastern
IA,Iowa,IA,89.9,7.25,8,32.4,"Agricultura (Milho/Soja), Política","Escrita Criativa, Agronomia",21,5,"Continental. Invernos rigorosos.",Baixo,Inexistente (Precisa de Carro),Inverno Rigoroso,"Comunitário e Agrícola",Neutro,Central
KS,Kansas,KS,86.5,7.25,5,14.7,"Girassóis, Tornado Alley, Churrasco","Aviação, Agricultura",14,5,"Continental. Variações extremas.",Baixo,Inexistente (Precisa de Carro),Vento e Variável,"Vida Real Americana (Roots)",Neutro,Central
KY,Kentucky,KY,94.4,7.25,4,12.5,"Cavalos, Bourbon, Bluegrass","Música, Estudos Equinos",43,7,"Subtropical úmido. Moderado.",Baixo,Ruim (Carro Essencial),Meia-estação,"Cavalos e Bourbon",Sulista Moderado,Eastern
LA,Louisiana,LA,93.4,7.25,0,0.0,"Jazz, Mardi Gras, Culinária Cajun","Petróleo, Cultura, Música",41,6,"Subtropical. Úmido e quente.",Baixo,Ruim (Exceto New Orleans),Leve/Úmido,"Festas, Jazz e Gastronomia","Sulista/Cajun (Único)",Central
ME,Maine,ME,113.0,14.15,10,61.8,"Lagostas, Faróis, Florestas","Biologia Marinha, Estudos Ambientais",17,9,"Continental úmido. Invernos longos.",Alto,Ruim (Carro Essencial),Inverno Pesado/Lã,"Natureza, Lagostas e Silêncio",Neutro/Rural,Eastern
MD,Maryland,MD,124.0,15.00,5,20.6,"Caranguejos, Hino Nacional, Baía","Medicina (Johns Hopkins), Bio-Tech",238,7,"Temperado. Verões úmidos.",Alto,"Bom (Perto de DC)",Meia-estação,"Política e Frutos do Mar",Urbano/Mid-Atlantic,Eastern
MA,Massachusetts,MA,149.7,15.00,9,43.8,"Harvard, MIT, História Revolucionária","Melhor do Mundo (Harvard/MIT)",346,7,"Continental. Invernos frios e nevados.",Muito Alto,Excelente em Boston,Inverno Pesado,"Universitário, Histórico e Jovem",Rápido/Bostoniano,Eastern
MI,Michigan,MI,91.3,10.33,9,51.1,"Grandes Lagos, Carros (Detroit)","Engenharia Automotiva, Pesquisa",67,8,"Continental. Efeito lago (muita neve).",Baixo,Ruim (Carro Essencial),"Inverno Pesado (Neve)","Lagos, Carros e Futebol",Neutro/Nasalado,Eastern
MN,Minnesota,MN,97.1,10.85,10,54.0,"Mall of America, 10.000 Lagos","Medicina (Mayo Clinic), Ecologia",27,8,"Continental. Invernos congelantes.",Baixo,Bom em Minneapolis,Térmica/Congelante,"Shoppings e Lagos (Polite)","Neutro/""Minnesota Nice""",Central
MS,Mississippi,MS,83.3,7.25,0,0.9,"Blues, Rio Mississippi, Algodão","História, Música, Agricultura",24,6,"Subtropical. Verões longos.",Baixo,Inexistente (Precisa de Carro),Verão/Úmido,"Blues, História e Ritmo Lento",Sulista Forte,Central
MO,Missouri,MO,89.8,12.30,5,17.0,"Gateway Arch, Ozarks, Jazz","Jornalismo (Mizzou), Agricultura",34,7,"Continental úmido. Variável.",Baixo,Ruim (Carro Essencial),Variável,"Churrasco e Jazz",Neutro/Midwest,Central
MT,Montana,MT,100.7,10.30,9,39.8,"Parque Glacier, Yellowstone, Céu","Geologia, Paleontologia",3,10,"Semiárido. Invernos rigorosos.",Médio,Ruim (Carro Essencial),Inverno/Botas,"Cowboys e Montanhas",Neutro,Mountain
NE,Nebraska,NE,92.6,12.00,7,25.9,"Milho, Warren Buffett, Planícies","Agronegócio, Seguros",10,5,"Continental. Verões quentes/Invernos frios.",Baixo,Inexistente (Precisa de Carro),Inverno e Vento,"Agronegócio e Vida Simples",Neutro,Central
NV,Nevada,NV,108.5,12.00,2,21.8,"Las Vegas, Jogos, Deserto","Hotelaria, Mineração",11,7,"Desértico. Seco e quente.",Médio,Médio (Las Vegas),Leve e Seco,"Noite, Cassinos e Deserto",Neutro,Pacific
NH,New Hampshire,NH,114.1,7.25,9,60.8,"Granito, Liberdade, Esqui","Artes Liberais (Dartmouth)",57,9,"Continental. Outono famoso.",Alto,Ruim (Carro Essencial),Inverno/Esqui,"Liberdade e Montanhas",Neutro/Rural,Eastern
NJ,New Jersey,NJ,119.8,15.13,6,23.0,"Diners, Costa (Jersey Shore)","Farmacêutica, Pesquisa (Princeton)",488,6,"Temperado. Úmido.",Alto,"Bom (Trens para NY)",Quatro Estações,"Suburbano, Diners e Praias",Rápido/Italian-American,Eastern
NM,New Mexico,NM,91.0,12.00,3,9.6,"Breaking Bad, Balões, Aliens","Nuclear, Artes, Arqueologia",7,8,"Semiárido/Desértico. Altitude alta.",Baixo,Ruim (Carro Essencial),Deserto/Noites Frias,"Artes, Mistério e Deserto",Misto (Hispânico),Mountain
NY,New York,NY,148.2,15.00,9,55.3,"NYC, Cataratas do Niágara, Moda","Finanças, Artes (NYU/Columbia)",162,7,"Continental. Invernos frios no norte.",Muito Alto,Excelente (NYC),Estiloso e Pesado,"O Centro do Mundo",Rápido/Novaiorquino,Eastern
NC,North Carolina,NC,95.7,7.25,2,5.0,"Outer Banks, Tech Triangle","Pesquisa (Duke/UNC), Tecnologia",86,8,"Subtropical. Ameno.",Baixo,Ruim (Precisa de Carro),Ameno/Confortável,"Universidades e Praias",Sulista Suave,Eastern
ND,North Dakota,ND,95.0,7.25,10,39.6,"Frio Extremo, Petróleo, Bisões","Energia, Aviação (UND)",4,6,"Continental. Invernos brutais.",Baixo,Inexistente (Precisa de Carro),Sobrevivência/Ártico,"Frio Extremo e Petróleo",Neutro/Nasalado,Central
OH,Ohio,OH,91.3,10.45,7,27.5,"Rock Hall of Fame, Aviação","Pesquisa (Ohio State), Medicina",109,6,"Continental. Nublado no inverno.",Baixo,Ruim (Carro Essencial),Inverno Cinza,"Rock, Indústria e Campus",Neutro (Padrão TV),Eastern
OK,Oklahoma,OK,87.9,7.25,3,7.8,"Cultura Nativa, Tornados, Petróleo","Meteorologia, Engenharia de Petróleo",22,6,"Subtropical. Ventoso.",Baixo,Inexistente (Precisa de Carro),Vento Forte/Variável,"Nativo Americano e Cowboy",Sulista/Midwest,Central
OR,Oregon,OR,130.1,14.20,4,3.0,"Nike, Hipsters, Florestas","Sustentabilidade, Design (Nike)",16,10,"Oceânico. Chuvoso e verde.",Alto,Bom em Portland,Impermeável/Galocha,"Hipster, Café e Florestas",Neutro,Pacific
PA,Pennsylvania,PA,102.5,7.25,7,38.0,"História (Liberty Bell), Chocolate","Negócios (Wharton), Medicina",110,7,"Continental. Estações distintas.",Médio,Médio (Philly/Pitt),Quatro Estações,"História e Sanduíches",Misto (Philly/Rural),Eastern
RI,Rhode Island,RI,117.2,14.00,7,33.1,"Mansões, Oceano, Family Guy","Design (RISD), Culinária (JWU)",400,7,"Oceânico. Ventoso.",Alto,Médio,Vento e Casaco,"Náutico e Artístico",Rápido/New England,Eastern
SC,South Carolina,SC,94.3,7.25,0,1.5,"Charleston, Golfe, Praias","Turismo, Negócios Internacionais",64,7,"Subtropical. Verões úmidos.",Baixo,Ruim (Carro Essencial),Verão/Úmido,"Charme Sulista e Praias",Sulista Clássico,Eastern
SD,South Dakota,SD,94.4,11.20,9,38.8,"Monte Rushmore, Badlands","História Nativa, Turismo",5,8,"Continental. Ventoso e frio.",Baixo,Inexistente (Precisa de Carro),Vento e Frio,"Turismo Histórico e Monumentos",Neutro,Central
TN,Tennessee,TN,90.2,7.25,2,4.8,"Country Music, Elvis, Whisky","Música (Belmont), Energia (Vanderbilt)",63,8,"Subtropical. Moderado.",Baixo,Ruim (Carro Essencial),Ameno,"Música Country e Bares",Sulista Cantado,Central/Eastern
TX,Texas,TX,92.9,7.25,1,1.5,"Cowboys, Churrasco, Tudo Grande","Energia, Aeroespacial, Tech",43,6,"Variado. Quente na maior parte.",Médio,Ruim (Carro Essencial),Leve/Botas Cowboy,"Orgulho Estadual e Tudo Grande",Sulista/Texano,Central
UT,Utah,UT,103.2,7.25,8,56.2,"Mórmons, Arcos Naturais, Esqui","Computação Gráfica, Religião (BYU)",15,10,"Semiárido. Seco e ensolarado.",Médio,Médio (Salt Lake City),Inverno/Esqui,"Religioso, Família e Outdoor",Neutro,Mountain
VT,Vermont,VT,117.0,13.67,10,81.2,"Xarope de Bordo, Esqui, Ben & Jerry's","Ambientalismo, Medicina",26,10,"Continental. Neve abundante.",Alto,Ruim (Carro Essencial),Inverno/Flanela,"Esqui, Sorvete e Natureza",Neutro/Rural,Eastern
VA,Virginia,VA,101.8,12.00,4,13.8,"Pentágono, História Presidencial","Direito, Governo, História (UVA)",85,8,"Subtropical. Estações suaves.",Médio,Médio (Perto de DC),Quatro Estações Suaves,"História e Governo",Sulista Leve,Eastern
WA,Washington,WA,111.6,16.28,3,5.0,"Microsoft, Amazon, Café, Chuva","Ciência da Computação, Medicina",43,10,"Oceânico. Nublado e chuvoso.",Alto,Bom em Seattle,Capa de Chuva/Xadrez,"Tech, Grunge e Café",Neutro,Pacific
WV,West Virginia,WV,90.5,8.75,7,26.0,"Montanhas Appalaches, Carvão","Mineração, Recreação ao Ar Livre",29,9,"Subtropical de altitude. Montanhoso.",Baixo,Inexistente (Precisa de Carro),Montanha/Frio,"Montanhas e Comunidade Fechada",Appalachian (Forte),Eastern
WI,Wisconsin,WI,96.4,7.25,9,45.8,"Queijo, Cerveja, Green Bay Packers","Laticínios, Biociências (UW-Madison)",41,7,"Continental. Invernos longos.",Baixo,Ruim (Carro Essencial),Inverno Pesado,"Cerveja, Queijo e Festas",Neutro/Midwest,Central
WY,Wyoming,WY,91.8,7.25,9,55.0,"Yellowstone, Cowboys, Géiseres","Gestão de Parques, Geologia",2,10,"Semiárido. Ventoso e frio.",Baixo,Inexistente (Precisa de Carro),Vento/Frio,"Farrapos e Yellowstone",Neutro/Cowboy,Mountain